x,y,z
-5.919463,-1.022983,-0.071534
-5.919463,-1.001975,-0.212976
-5.919463,-1.007311,0.177616
-5.919463,-0.970188,0.315233
-5.919463,-0.913801,-0.44569
-5.919463,-0.878781,0.507364
-5.919463,-0.817927,0.594258
-5.919463,-0.746492,-0.672145
-5.919463,-0.670019,0.744132
-5.919463,-0.585468,0.805828
-5.919463,-0.495628,0.858453
-5.919463,-0.401618,0.902048
-5.919463,-0.304307,0.93656
-5.919463,-0.20442,0.961719
-5.919463,-0.102696,0.977089
-5.919463,0.0,0.982267
-5.919463,0.102696,0.977089
-5.919463,0.20442,0.961719
-5.919463,0.304307,0.93656
-5.919463,0.401618,0.902048
-5.919463,0.495628,0.858453
-5.919463,0.585468,0.805828
-5.919463,0.670019,0.744132
-5.919463,0.722797,0.697997
-5.919463,0.837756,-0.565074
-5.919463,0.896364,-0.476605
-5.919463,0.930112,-0.414113
-5.919463,0.983222,-0.281935
-5.919463,1.015253,-0.142685
-5.919463,0.991203,0.247135
-5.838926,-1.022734,-0.071517
-5.838926,-1.001849,-0.212949
-5.838926,-1.006745,0.177516
-5.838926,-0.96967,0.315065
-5.838926,-0.929829,-0.413986
-5.838926,-0.87857,0.507243
-5.838926,-0.817814,0.594177
-5.838926,-0.74607,-0.671764
-5.838926,-0.669842,0.743935
-5.838926,-0.585216,0.805481
-5.838926,-0.495349,0.85797
-5.838926,-0.40138,0.901515
-5.838926,-0.304154,0.936091
-5.838926,-0.20435,0.961392
-5.838926,-0.102677,0.976903
-5.838926,0.0,0.98214
-5.838926,0.102677,0.976903
-5.838926,0.20435,0.961392
-5.838926,0.304154,0.936091
-5.838926,0.40138,0.901515
-5.838926,0.495349,0.85797
-5.838926,0.585216,0.805481
-5.838926,0.669842,0.743935
-5.838926,0.72267,0.697875
-5.838926,0.837298,-0.564764
-5.838926,0.895991,-0.476407
-5.838926,0.913554,0.44557
-5.838926,0.983084,-0.281895
-5.838926,1.015088,-0.142661
-5.838926,0.990634,0.246993
-5.758389,-1.022476,-0.071498
-5.758389,-1.001711,-0.21292
-5.758389,-1.006176,0.177416
-5.758389,-0.969149,0.314896
-5.758389,-0.929538,-0.413857
-5.758389,-0.878352,0.507117
-5.758389,-0.817693,0.594089
-5.758389,-0.745645,-0.671382
-5.758389,-0.66966,0.743733
-5.758389,-0.584961,0.805129
-5.758389,-0.495069,0.857485
-5.758389,-0.401142,0.90098
-5.758389,-0.304001,0.935618
-5.758389,-0.204279,0.961058
-5.758389,-0.102656,0.976707
-5.758389,0.0,0.982001
-5.758389,0.102656,0.976707
-5.758389,0.204279,0.961058
-5.758389,0.304001,0.935618
-5.758389,0.401142,0.90098
-5.758389,0.495069,0.857485
-5.758389,0.584961,0.805129
-5.758389,0.66966,0.743733
-5.758389,0.722536,0.697745
-5.758389,0.836836,-0.564453
-5.758389,0.895614,-0.476207
-5.758389,0.913233,0.445413
-5.758389,0.982934,-0.281852
-5.758389,1.014912,-0.142637
-5.758389,0.990063,0.24685
-5.677852,-1.02221,-0.07148
-5.677852,-1.001563,-0.212889
-5.677852,-1.005608,0.177316
-5.677852,-0.968628,0.314726
-5.677852,-0.929242,-0.413725
-5.677852,-0.878127,0.506987
-5.677852,-0.817563,0.593994
-5.677852,-0.745221,-0.671
-5.677852,-0.669472,0.743524
